Ticker,Close,San,Date Time
FHS,26.8,UPCOM,20231103
FIC,11.9,UPCOM,20231103
FID,2.4,HNX,20231103
FIR,23.5,HOSE,20231103
FIT,4.1,HOSE,20231103
FMC,43.7,HOSE,20231103
FOC,73.5,UPCOM,20231103
FOX,48.3,UPCOM,20231103
FPT,87.0,HOSE,20231103
FRT,96.0,HOSE,20231103
FT1,36.0,UPCOM,20231103
FTM,0.6,UPCOM,20231103
FTS,36.0,HOSE,20231103
FUCVREIT,6.9,HOSE,20231103
FUEDCMID,9.81,HOSE,20231103
FUEFCV50,13.6,HOSE,20231103
FUEIP100,8.05,HOSE,20231103
FUEKIV30,7.2,HOSE,20231103
FUEKIVFS,10.22,HOSE,20231103
FUEMAV30,12.91,HOSE,20231103
FUESSV30,13.57,HOSE,20231103
FUESSV50,16.6,HOSE,20231103
FUESSVFL,17.71,HOSE,20231103
FUEVFVND,24.19,HOSE,20231103
FUEVN100,14.5,HOSE,20231103
G20,0.6,UPCOM,20231103
G36,6.9,UPCOM,20231103
GAS,79.1,HOSE,20231103
GCF,13.7,UPCOM,20231103
GDA,22.9,UPCOM,20231103
GDT,22.55,HOSE,20231103
GDW,30.3,HNX,20231103
GEE,30.0,UPCOM,20231103
GEG,12.8,HOSE,20231103
GEX,19.0,HOSE,20231103
GGG,4.0,UPCOM,20231103
GHC,25.8,UPCOM,20231103
GIC,14.8,HNX,20231103
GIL,23.1,HOSE,20231103
GKM,34.5,HNX,20231103
GLT,18.9,HNX,20231103
GMC,7.78,HOSE,20231103
GMD,65.0,HOSE,20231103
GPC,3.3,UPCOM,20231103
GSP,10.95,HOSE,20231103
GTA,16.7,HOSE,20231103
GTT,0.5,UPCOM,20231103
GVR,18.5,HOSE,20231103
GVT,74.7,UPCOM,20231103
H11,8.0,UPCOM,20231103
HAC,8.8,UPCOM,20231103
HAD,16.9,HNX,20231103
HAF,15.4,UPCOM,20231103
HAG,8.2,HOSE,20231103
HAH,30.9,HOSE,20231103
HAN,10.5,UPCOM,20231103
HAP,4.6,HOSE,20231103
HAR,3.7,HOSE,20231103
HAS,6.94,HOSE,20231103
HAT,34.3,HNX,20231103
HAV,3.0,UPCOM,20231103
HAX,13.7,HOSE,20231103
HBC,7.1,HOSE,20231103
HBH,5.5,UPCOM,20231103
HBS,7.2,HNX,20231103
HC3,30.7,UPCOM,20231103
HCC,10.0,HNX,20231103
HCD,7.6,HOSE,20231103
HCM,27.0,HOSE,20231103
HCT,9.2,HNX,20231103
HD2,25.3,UPCOM,20231103
HD6,18.2,UPCOM,20231103
HD8,9.0,UPCOM,20231103
HDA,4.9,HNX,20231103
HDB,18.35,HOSE,20231103
HDC,32.5,HOSE,20231103
HDG,26.6,HOSE,20231103
HDM,26.0,UPCOM,20231103
HDO,0.5,UPCOM,20231103
HDW,12.4,UPCOM,20231103
HEM,19.2,UPCOM,20231103
HFX,2.5,UPCOM,20231103
HGT,8.3,UPCOM,20231103
